id,datetime,latitude,longitude,depth_km,magnitude,location,month,year
31 January 2022 - 10:43 PM-8.8200-126.4600-2.5,31 January 2022 - 10:43 PM,8.82,126.46,31,2.5,020  km S 56° E of Cagwait (Surigao Del Sur),January,2022
31 January 2022 - 10:42 PM-9.4400-126.5800-2.3,31 January 2022 - 10:42 PM,9.44,126.58,23,2.3,046  km N 66° E of Cortes (Surigao Del Sur),January,2022
31 January 2022 - 10:20 PM-6.3300-126.3100-3.0,31 January 2022 - 10:20 PM,6.33,126.31,9,3.0,044  km S 37° E of Governor Generoso (Davao Oriental),January,2022
31 January 2022 - 09:54 PM-8.7600-125.6000-2.2,31 January 2022 - 09:54 PM,8.76,125.6,25,2.2,011  km S 58° W of Sibagat (Agusan Del Sur),January,2022
31 January 2022 - 08:33 PM-18.1100-120.9700-1.8,31 January 2022 - 08:33 PM,18.11,120.97,1,1.8,016  km S 79° E of Carasi (Ilocos Norte),January,2022
31 January 2022 - 07:10 PM-6.3100-126.4300-2.8,31 January 2022 - 07:10 PM,6.31,126.43,10,2.8,055  km S 46° E of Governor Generoso (Davao Oriental),January,2022
31 January 2022 - 05:11 PM-11.0800-126.0300-2.5,31 January 2022 - 05:11 PM,11.08,126.03,26,2.5,034  km N 81° E of Guiuan (Eastern Samar),January,2022
31 January 2022 - 05:09 PM-10.5000-126.0100-2.4,31 January 2022 - 05:09 PM,10.5,126.01,10,2.4,049  km N 72° E of Loreto (Dinagat Islands),January,2022
31 January 2022 - 04:39 PM-10.6400-124.4800-2.0,31 January 2022 - 04:39 PM,10.64,124.48,34,2.0,010  km S 89° E of San Francisco (Cebu),January,2022
31 January 2022 - 10:24 AM-6.8300-125.7200-3.3,31 January 2022 - 10:24 AM,6.83,125.72,53,3.3,029  km S 26° E of City of Davao (Davao Del Sur),January,2022
31 January 2022 - 10:22 AM-7.0500-125.5700-2.1,31 January 2022 - 10:22 AM,7.05,125.57,58,2.1,004  km S 64° W of City Of Davao (Davao Del Sur),January,2022
31 January 2022 - 07:26 AM-13.6500-120.6100-1.7,31 January 2022 - 07:26 AM,13.65,120.61,88,1.7,020  km S 07° W of Calatagan (Batangas),January,2022
31 January 2022 - 06:50 AM-13.7500-120.6300-1.8,31 January 2022 - 06:50 AM,13.75,120.63,97,1.8,009  km S 04° W of Calatagan (Batangas),January,2022
31 January 2022 - 06:12 AM-13.2000-121.0300-2.0,31 January 2022 - 06:12 AM,13.2,121.03,35,2.0,025  km S 39° W of City Of Calapan (Oriental Mindoro),January,2022
31 January 2022 - 06:08 AM-6.8100-125.7800-2.3,31 January 2022 - 06:08 AM,6.81,125.78,29,2.3,036  km N 62° W of Governor Generoso (Davao Oriental),January,2022
